source,fetched_at,headline,posted_at,reporter,url
TechCrunch,2026-06-13T15:45:38Z,The FBI built its own replica small town to simulate real-world cyberattacks,2026-06-13T11:00:00Z,TechCrunch,https://techcrunch.com/2026/06/13/the-fbi-built-its-own-replica-small-town-to-simulate-real-world-cyberattacks/
TechCrunch,2026-06-13T15:45:38Z,Andrew Yang thinks the next big startup opportunity is lowering the cost of living,2026-06-13T04:14:19Z,TechCrunch,https://techcrunch.com/2026/06/12/andrew-yang-thinks-the-next-big-startup-opportunity-is-lowering-the-cost-of-living/
TechCrunch,2026-06-13T15:45:38Z,Anthropic’s safety warnings may have just backfired — the government has pulled the plug on its most powerful AI,2026-06-13T02:26:30Z,TechCrunch,https://techcrunch.com/2026/06/12/anthropics-safety-warnings-may-have-just-backfired-the-government-has-pulled-the-plug-on-its-most-powerful-ai/
TechCrunch,2026-06-13T15:45:38Z,SpaceX IPO: Live updates on everything you need to know,2026-06-12T23:15:14Z,TechCrunch,https://techcrunch.com/2026/06/12/spacex-ipo-live-updates-on-everything-you-need-to-know/
TechCrunch,2026-06-13T15:45:38Z,"Meta’s months-old AI unit is a soul-crushing gulag, say the engineers stuck inside it",2026-06-12T23:00:54Z,TechCrunch,https://techcrunch.com/2026/06/12/metas-months-old-ai-unit-is-a-soul-crushing-gulag-say-the-engineers-stuck-inside-it/
TechCrunch,2026-06-13T15:45:38Z,Chinese cybercrime operation that used AI to scam ‘hundreds of thousands of victims’ sued by Google,2026-06-12T20:38:09Z,TechCrunch,https://techcrunch.com/2026/06/12/chinese-cybercrime-operation-that-used-ai-to-scam-hundreds-of-thousands-of-victims-sued-by-google/
TechCrunch,2026-06-13T15:45:38Z,SpaceX IPO closes up 19% and delivers the world’s first trillionaire,2026-06-12T20:20:00Z,TechCrunch,https://techcrunch.com/2026/06/12/spacex-ipo-closes-up-19-and-delivers-the-worlds-first-trillionaire/
TechCrunch,2026-06-13T15:45:38Z,SpaceX president Gwynne Shotwell just gave another hint at a Tesla merger,2026-06-12T19:28:31Z,TechCrunch,https://techcrunch.com/2026/06/12/spacex-president-gwynne-shotwell-just-gave-another-hint-at-a-tesla-merger/
TechCrunch,2026-06-13T15:45:38Z,Mistral is rumored to be raising €3B at €20B valuation,2026-06-12T17:38:11Z,TechCrunch,https://techcrunch.com/2026/06/12/mistral-is-rumored-to-be-raising-e3b-at-e20-valuation/
TechCrunch,2026-06-13T15:45:38Z,Robinhood sees ‘record-breaking’ traffic after SpaceX stock debuts,2026-06-12T17:05:06Z,TechCrunch,https://techcrunch.com/2026/06/12/robinhood-sees-record-breaking-traffic-after-spacex-stock-debuts/
TechCrunch,2026-06-13T15:45:38Z,"SpaceX, Anthropic, and OpenAI’s hot IPO summer",2026-06-12T16:23:25Z,TechCrunch,https://techcrunch.com/video/spacex-anthropic-and-openais-hot-ipo-summer/
TechCrunch,2026-06-13T15:45:38Z,Elon Musk becomes the world’s first trillionaire after SpaceX’s historic IPO,2026-06-12T15:55:06Z,TechCrunch,https://techcrunch.com/2026/06/12/elon-musk-becomes-the-worlds-first-trillionaire-after-spacexs-historic-ipo/
