source,fetched_at,headline,posted_at,reporter,url
TechCrunch,2026-03-30T15:12:37Z,Uber is buying Berlin startup Blacklane to bolster its ‘Elite’ offering,2026-03-30T14:46:41Z,TechCrunch,https://techcrunch.com/2026/03/30/uber-is-buying-berlin-startup-blacklane-to-bolster-its-elite-offering/
TechCrunch,2026-03-30T15:12:37Z,Mantis Biotech is making ‘digital twins’ of humans to help solve medicine’s data availability problem,2026-03-30T14:30:00Z,TechCrunch,https://techcrunch.com/2026/03/30/mantis-biotech-is-making-digital-twins-of-humans-to-help-solve-medicines-data-availability-problem/
TechCrunch,2026-03-30T15:12:37Z,ScaleOps raises $130M to improve computing efficiency amid AI demand,2026-03-30T13:52:02Z,TechCrunch,https://techcrunch.com/2026/03/30/scaleops-130m-series-c-kubernetes-efficiency-ai-demand-funding/
TechCrunch,2026-03-30T15:12:37Z,AI chip startup Rebellions raises $400 million at $2.3B valuation in pre-IPO round,2026-03-30T13:00:00Z,TechCrunch,https://techcrunch.com/2026/03/30/ai-chip-startup-rebellions-raises-400-million-at-2-3b-valuation-in-pre-ipo-round/
TechCrunch,2026-03-30T15:12:37Z,Mistral AI raises $830M in debt to set up a data center near Paris,2026-03-30T12:49:51Z,TechCrunch,https://techcrunch.com/2026/03/30/mistral-ai-raises-830m-in-debt-to-set-up-a-data-center-near-paris/
TechCrunch,2026-03-30T15:12:37Z,Qodo raises $70M for code verification as AI coding scales,2026-03-30T12:30:00Z,TechCrunch,https://techcrunch.com/2026/03/30/qodo-bets-on-code-verification-as-ai-coding-scales-raises-70m/
TechCrunch,2026-03-30T15:12:37Z,Starcloud raises $170 million Series A to build data centers in space,2026-03-30T11:00:00Z,TechCrunch,https://techcrunch.com/2026/03/30/starcloud-raises-170-million-series-ato-build-data-centers-in-space/
TechCrunch,2026-03-30T15:12:37Z,Why OpenAI really shut down Sora,2026-03-30T03:09:38Z,TechCrunch,https://techcrunch.com/2026/03/29/why-openai-really-shut-down-sora/
TechCrunch,2026-03-30T15:12:37Z,"The Pixel 10a doesn’t have a camera bump, and it’s great",2026-03-29T21:30:00Z,TechCrunch,https://techcrunch.com/2026/03/29/google-pixel-10a-review-camera-bump-performance-ai-chip/
TechCrunch,2026-03-30T15:12:37Z,YouTube CEO says the best YouTubers will ‘never leave their home’,2026-03-29T21:17:52Z,TechCrunch,https://techcrunch.com/2026/03/29/youtube-ceo-says-the-best-youtubers-will-never-leave-their-home/
TechCrunch,2026-03-30T15:12:37Z,‘Project Hail Mary’ becomes Amazon MGM’s biggest box office hit,2026-03-29T19:50:57Z,TechCrunch,https://techcrunch.com/2026/03/29/project-hail-mary-becomes-amazon-mgms-biggest-box-office-hit/
TechCrunch,2026-03-30T15:12:37Z,Sora’s shutdown could be a reality check moment for AI video,2026-03-29T16:30:00Z,TechCrunch,https://techcrunch.com/2026/03/29/soras-shutdown-could-be-a-reality-check-moment-for-ai-video/
TechCrunch,2026-03-30T15:12:37Z,TechCrunch Mobility: When a robotaxi has to call 911,2026-03-29T16:05:00Z,TechCrunch,https://techcrunch.com/2026/03/29/techcrunch-mobility-when-a-robotaxi-has-to-call-911/
TechCrunch,2026-03-30T15:12:37Z,"SXSW rebounds as a top networking, ideas festival for founders and VCs",2026-03-29T14:01:00Z,TechCrunch,https://techcrunch.com/2026/03/29/sxsw-rebounds-as-a-top-networking-ideas-festival-for-founders-and-vcs/
TechCrunch,2026-03-30T15:12:37Z,"Bluesky leans into AI with Attie, an app for building custom feeds",2026-03-28T23:00:00Z,TechCrunch,https://techcrunch.com/2026/03/28/bluesky-leans-into-ai-with-attie-an-app-for-building-custom-feeds/
TechCrunch,2026-03-30T15:12:37Z,Mark Zuckerberg texted Elon Musk to offer help with DOGE,2026-03-28T21:23:58Z,TechCrunch,https://techcrunch.com/2026/03/28/mark-zuckerberg-texted-elon-musk-to-offer-help-with-doge/
TechCrunch,2026-03-30T15:12:37Z,Stanford study outlines dangers of asking AI chatbots for personal advice,2026-03-28T20:45:54Z,TechCrunch,https://techcrunch.com/2026/03/28/stanford-study-outlines-dangers-of-asking-ai-chatbots-for-personal-advice/
TechCrunch,2026-03-30T15:12:37Z,Elon Musk’s last co-founder reportedly leaves xAI,2026-03-28T16:11:16Z,TechCrunch,https://techcrunch.com/2026/03/28/elon-musks-last-co-founder-reportedly-leaves-xai/
TechCrunch,2026-03-30T15:12:37Z,These iPad apps will make you wish you had more free time,2026-03-28T16:00:00Z,TechCrunch,https://techcrunch.com/2026/03/28/best-ipad-apps-for-unleashing-and-exploring-your-creativity/
TechCrunch,2026-03-30T15:12:37Z,Anthropic’s Claude popularity with paying consumers is skyrocketing,2026-03-28T14:15:00Z,TechCrunch,https://techcrunch.com/2026/03/28/anthropics-claude-popularity-with-paying-consumers-is-skyrocketing/
Google News RSS,2026-03-30T15:12:37Z,Opinion | I Saw Something New in San Francisco - The New York Times,2026-03-29T05:00:19Z,The New York Times,https://news.google.com/rss/articles/CBMihwFBVV95cUxOUmpUMlc3T3lnNkxqWnc1NWZ5U0kxdHMyQ016N1JhY2JwbW05S2thNG9jNjFFbUNTczBrdWk1dS1YX3VDSmROLU5nX1dlMEJ4ZVlNY3RfRHJxZUNvTFNFSktTU0lvc1p1VVM1a2Frbi1OMGtNRUh4VFBJaktzNjVoU1BUZ1FZZUU?oc=5
Google News RSS,2026-03-30T15:12:37Z,Tech CEOs suddenly love blaming AI for mass job cuts. Why? - BBC,2026-03-29T23:07:04Z,BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE96bHJKdVVza1Q0OU1Rd25wSjZrbWhSSUNXWFR4Rll3X2U0R3k1TjRabGoteHFQQ0pVNU1aRm9kRmw5aWR3VV9NaHJlZ29TbEdwZnpldFhVbDcxdw?oc=5
