source,fetched_at,headline,posted_at,reporter,url
TechCrunch,2026-04-19T14:50:51Z,Cracks are starting to form on fusion energy’s funding boom,2026-04-19T12:51:10Z,TechCrunch,https://techcrunch.com/2026/04/19/cracks-are-starting-to-form-on-fusion-energys-funding-boom/
TechCrunch,2026-04-19T14:50:51Z,Blue Origin successfully re-uses a New Glenn rocket for the first time ever,2026-04-19T11:45:38Z,TechCrunch,https://techcrunch.com/2026/04/19/blue-origin-successfully-re-uses-a-new-glenn-rocket-for-the-first-time-ever/
TechCrunch,2026-04-19T14:50:51Z,Tesla brings its robotaxi service to Dallas and Houston,2026-04-18T21:37:15Z,TechCrunch,https://techcrunch.com/2026/04/18/tesla-brings-its-robotaxi-service-to-dallas-and-houston/
TechCrunch,2026-04-19T14:50:51Z,VC Ron Conway says he has a ‘rare form of cancer’,2026-04-18T20:00:00Z,TechCrunch,https://techcrunch.com/2026/04/18/vc-ron-conway-says-he-has-a-rare-form-of-cancer/
TechCrunch,2026-04-19T14:50:51Z,AI chip startup Cerebras files for IPO,2026-04-18T19:19:11Z,TechCrunch,https://techcrunch.com/2026/04/18/ai-chip-startup-cerebras-files-for-ipo/
TechCrunch,2026-04-19T14:50:51Z,Anthropic’s relationship with the Trump administration seems to be thawing,2026-04-18T14:56:48Z,TechCrunch,https://techcrunch.com/2026/04/18/anthropics-relationship-with-the-trump-administration-seems-to-be-thawing/
TechCrunch,2026-04-19T14:50:51Z,"The App Store is booming again, and AI may be why",2026-04-18T13:00:00Z,TechCrunch,https://techcrunch.com/2026/04/18/the-app-store-is-booming-again-and-ai-may-be-why/
TechCrunch,2026-04-19T14:50:51Z,"Once close enough for an acquisition, Stripe and Airwallex are now going after each other",2026-04-18T05:20:11Z,TechCrunch,https://techcrunch.com/2026/04/17/once-close-enough-for-an-acquisition-stripe-and-airwallex-are-now-going-after-each-other/
TechCrunch,2026-04-19T14:50:51Z,Sam Altman’s project World looks to scale its human verification empire. First stop: Tinder.,2026-04-17T22:34:02Z,TechCrunch,https://techcrunch.com/2026/04/17/sam-altmans-project-world-looks-to-scale-its-human-verification-empire-first-stop-tinder/
TechCrunch,2026-04-19T14:50:51Z,Kevin Weil and Bill Peebles exit OpenAI as company continues to shed ‘side quests’,2026-04-17T20:38:17Z,TechCrunch,https://techcrunch.com/2026/04/17/kevin-weil-and-bill-peebles-exit-openai-as-company-continues-to-shed-side-quests/
TechCrunch,2026-04-19T14:50:51Z,Man who hacked US Supreme Court filing system sentenced to probation,2026-04-17T20:16:13Z,TechCrunch,https://techcrunch.com/2026/04/17/man-who-hacked-us-supreme-court-filing-system-sentenced-to-probation/
TechCrunch,2026-04-19T14:50:51Z,Sources: Cursor in talks to raise $2B+ at $50B valuation as enterprise growth surges,2026-04-17T19:17:26Z,TechCrunch,https://techcrunch.com/2026/04/17/sources-cursor-in-talks-to-raise-2b-at-50b-valuation-as-enterprise-growth-surges/
TechCrunch,2026-04-19T14:50:51Z,‘Tokenmaxxing’ is making developers less productive than they think,2026-04-17T18:42:45Z,TechCrunch,https://techcrunch.com/2026/04/17/tokenmaxxing-is-making-developers-less-productive-than-they-think/
TechCrunch,2026-04-19T14:50:51Z,Hackers are abusing unpatched Windows security flaws to hack into organizations,2026-04-17T17:48:46Z,TechCrunch,https://techcrunch.com/2026/04/17/hackers-are-abusing-unpatched-windows-security-flaws-to-hack-into-organizations/
TechCrunch,2026-04-19T14:50:51Z,Zoom teams up with World to verify humans in meetings,2026-04-17T17:15:00Z,TechCrunch,https://techcrunch.com/2026/04/17/zoom-teams-up-with-world-to-verify-humans-in-meeting/
TechCrunch,2026-04-19T14:50:51Z,Gigs turns your concert history into a personal live music archive,2026-04-17T16:55:45Z,TechCrunch,https://techcrunch.com/2026/04/17/gigs-turns-your-concert-history-into-a-personal-live-music-archive/
TechCrunch,2026-04-19T14:50:51Z,Chef Robotics escaped the robot cooking graveyard and says it’s thriving — here’s why,2026-04-17T16:15:50Z,TechCrunch,https://techcrunch.com/2026/04/17/chef-robotics-escaped-the-robot-cooking-graveyard-and-says-its-thriving-heres-why/
TechCrunch,2026-04-19T14:50:51Z,Uber will now pick up your returns from your doorstep,2026-04-17T15:02:00Z,TechCrunch,https://techcrunch.com/2026/04/17/uber-will-now-pick-up-your-returns-from-your-doorstep/
TechCrunch,2026-04-19T14:50:51Z,"Anthropic launches Claude Design, a new product for creating quick visuals",2026-04-17T15:00:00Z,TechCrunch,https://techcrunch.com/2026/04/17/anthropic-launches-claude-design-a-new-product-for-creating-quick-visuals/
TechCrunch,2026-04-19T14:50:51Z,"With US spy laws set to expire, lawmakers are split over protecting Americans from warrantless surveillance",2026-04-17T14:00:00Z,TechCrunch,https://techcrunch.com/2026/04/17/with-us-spy-laws-set-to-expire-lawmakers-are-split-over-protecting-americans-from-warrantless-surveillance/
Google News RSS,2026-04-19T14:50:51Z,Google Starts Scanning All Your Photos As New Update Goes Live - Forbes,2026-04-18T05:18:19Z,Forbes,https://news.google.com/rss/articles/CBMitAFBVV95cUxPb00xNFhJSzF2akRfN2xqVmt0aFlOZ2E0X3Zjb1JHcWtlcDBTeUZwdHE4S3AycjJmcHJkbExVT25jQzFqUlkteG5HanZ5dXdFX2pnV21vRjJuV3lUTUVlWjRHNlk0a2R5UFlSV0JHb2d5bkdYbDdGaDA1Y0p2RENXUU9pdW9mUWdSTHhROU41QTVBNlhNcTN5Tllfejh6eHFHeC1Mc3hvQ3BZVFBxWFpHN1NyeEQ?oc=5
