source,fetched_at,headline,posted_at,reporter,url
TechCrunch,2026-06-14T15:52:52Z,US surveillance law to expire for first time after lawmakers reject Trump’s controversial pick to lead spy agencies,2026-06-12T11:43:32Z,TechCrunch,https://techcrunch.com/2026/06/12/us-spy-law-to-expire-for-first-time-after-lawmakers-reject-trumps-controversial-pick-to-lead-spy-agencies/
TechCrunch,2026-06-14T15:52:52Z,Elon Musk becomes the world’s first trillionaire after SpaceX’s historic IPO,2026-06-12T15:55:06Z,TechCrunch,https://techcrunch.com/2026/06/12/elon-musk-becomes-the-worlds-first-trillionaire-after-spacexs-historic-ipo/
TechCrunch,2026-06-14T15:52:52Z,"SpaceX, Anthropic, and OpenAI’s hot IPO summer",2026-06-12T16:23:25Z,TechCrunch,https://techcrunch.com/video/spacex-anthropic-and-openais-hot-ipo-summer/
Google News RSS,2026-06-14T15:52:52Z,AI Is about to escape human control — and nobody has a plan - The Hill,2026-06-12T16:48:00Z,The Hill,https://news.google.com/rss/articles/CBMif0FVX3lxTE00T21fajA4YzBWMGlWeWRqcmJ0MUZ2N041THE3MGl6NF94eDY0eG1UWXJGaFYzV0k5Y1E3d19RLTNNczJ4Rjg3UXBmSGtLRFNaLTVIYWJpYUs2VVdEMjdoNV9naVVTczJsZGVxLUZwNzJDRnNyamxxOXB4Yk1hT1HSAYQBQVVfeXFMTjZIaWtpTWtjRWJMcGZmdlktVk95Zlgxa3E2RkVhM0xjV3Q4UHBQeTlDU0RzNU56UmxFd2k5aHRZTkVpSmpTRm9iZy1YaFFzRUhtRTNEQ1NmQnRyZUlyOS1ReGtqVHVhLVJEdFh6RkNIeGZILTJrRGQ3Nkh0eWNaRlM3U3pL?oc=5
TechCrunch,2026-06-14T15:52:52Z,Robinhood sees ‘record-breaking’ traffic after SpaceX stock debuts,2026-06-12T17:05:06Z,TechCrunch,https://techcrunch.com/2026/06/12/robinhood-sees-record-breaking-traffic-after-spacex-stock-debuts/
TechCrunch,2026-06-14T15:52:52Z,Mistral is rumored to be raising €3B at €20B valuation,2026-06-12T17:38:11Z,TechCrunch,https://techcrunch.com/2026/06/12/mistral-is-rumored-to-be-raising-e3b-at-e20-valuation/
Google News RSS,2026-06-14T15:52:52Z,Here’s what Jeff Bezos’ new startup Prometheus will do - Ars Technica,2026-06-12T18:45:40Z,Ars Technica,https://news.google.com/rss/articles/CBMikgFBVV95cUxPeEVGelJPSnQ2N3FjNmdiVWRDTkVGd1RyZjBESGJLcUNsVUpYeGFDV004T2Z1eFBzN0xIam04M2JCRjh5VU4yUVJsS0FMcVNqMmR6anRhSjFoV3RORWJySG5vUnNyYXBTQ1pBX2U3enlmYV9JMW5iWDYwaTRxVU0zM0lSVVo5THZmc0tqaG4wRGZwUQ?oc=5
Google News RSS,2026-06-14T15:52:52Z,Tokenminimizing: Meta Moves to Curb Employee AI Usage as AI Costs Reach Billions - The Information,2026-06-12T19:00:23Z,The Information,https://news.google.com/rss/articles/CBMiswFBVV95cUxPUGhZTkFMcTNNam4zbVlUZF81Tm1nQnBQaHh0b1JhZmFPSDhxc0JsQ3c3VzR3THdWOFpsaVFLdHJfTnB0MUhLbjVzejA3SVlhQzF2WGRVN19iY09KSTFMQ1JZLXA3c3RyU3owUkczenFwdzI2bHVaQmFuaUQ2eExKeTdkMUExUHNWZThCU1VSMDBDMndrdDIyUEE2cmNpWHplVGN0Y3MwS21GdU5lTHdTM1hIdw?oc=5
TechCrunch,2026-06-14T15:52:52Z,SpaceX president Gwynne Shotwell just gave another hint at a Tesla merger,2026-06-12T19:28:31Z,TechCrunch,https://techcrunch.com/2026/06/12/spacex-president-gwynne-shotwell-just-gave-another-hint-at-a-tesla-merger/
TechCrunch,2026-06-14T15:52:52Z,SpaceX IPO closes up 19% and delivers the world’s first trillionaire,2026-06-12T20:20:00Z,TechCrunch,https://techcrunch.com/2026/06/12/spacex-ipo-closes-up-19-and-delivers-the-worlds-first-trillionaire/
Google News RSS,2026-06-14T15:52:52Z,Chinese cybercrime operation that used AI to scam 'hundreds of thousands of victims' sued by Google - TechCrunch,2026-06-12T20:38:09Z,TechCrunch,https://news.google.com/rss/articles/CBMizAFBVV95cUxNRlBPWnFkTVVYWjNKeFUxMVU0TmJZOFl1b1V6QWVOaWNoOTlRN2lIMVE5dnJtbzRaSGxjalVnanlPc2pDT29BcGh5anB1Y25TRHAyZDVlSV83c0hlLURTTmc0elJVbWxRM3d0WnlzeDVOM3d6MjBTZEFUMGRZU2tmRzhnV29YSHRqcG1NVWtZcWpmZWE3ZnNyRGJDLUx1VGh5QS1UQjJMdTlrcFgySjJlTU9Ba2J0OFZ5MUF4ZXk3bFJrUnY4SVBOcGdNM1A?oc=5
TechCrunch,2026-06-14T15:52:52Z,Chinese cybercrime operation that used AI to scam ‘hundreds of thousands of victims’ sued by Google,2026-06-12T20:38:09Z,TechCrunch,https://techcrunch.com/2026/06/12/chinese-cybercrime-operation-that-used-ai-to-scam-hundreds-of-thousands-of-victims-sued-by-google/
