source,fetched_at,headline,posted_at,reporter,url
TechCrunch,2026-04-14T15:19:49Z,Google brings its Gemini Personal Intelligence feature to India,2026-04-14T14:48:34Z,TechCrunch,https://techcrunch.com/2026/04/14/google-brings-its-gemini-personal-intelligence-feature-to-india/
TechCrunch,2026-04-14T15:19:49Z,Adobe fixes PDF zero-day security bug that hackers have exploited for months,2026-04-14T14:35:16Z,TechCrunch,https://techcrunch.com/2026/04/14/adobe-fixes-pdf-zero-day-security-bug-that-hackers-have-exploited-for-months/
TechCrunch,2026-04-14T15:19:49Z,"Tesla adds ‘streaks,’ other stats to track how often drivers use Full Self-Driving software",2026-04-14T14:33:50Z,TechCrunch,https://techcrunch.com/2026/04/14/tesla-adds-streaks-and-other-stats-to-track-how-often-drivers-use-full-self-driving-software/
TechCrunch,2026-04-14T15:19:49Z,Instacart acquires Instaleap to expand its enterprise platform internationally,2026-04-14T14:29:23Z,TechCrunch,https://techcrunch.com/2026/04/14/instacart-acquires-instaleap-to-expand-its-enterprise-platform-internationally/
TechCrunch,2026-04-14T15:19:49Z,How vibe coding app Anything is rebuilding after getting booted from the App Store twice,2026-04-14T14:22:44Z,TechCrunch,https://techcrunch.com/2026/04/14/how-vibe-coding-app-anything-is-rebuilding-after-getting-booted-from-the-app-store-twice/
TechCrunch,2026-04-14T15:19:49Z,Amazon to buy Globalstar for $11.57B in bid to flesh out its satellite biz,2026-04-14T13:55:42Z,TechCrunch,https://techcrunch.com/2026/04/14/amazon-to-buy-globalstar-for-11-57b-in-bid-to-flesh-out-its-satellite-biz/
TechCrunch,2026-04-14T15:19:49Z,"Lucid Motors names new CEO, lands more money from Uber and Saudis",2026-04-14T12:22:22Z,TechCrunch,https://techcrunch.com/2026/04/14/lucid-motors-names-new-ceo-lands-more-money-from-uber-and-saudis/
TechCrunch,2026-04-14T15:19:49Z,Inertia moves to commercialize one of the world’s most elaborate science experiments,2026-04-14T09:00:00Z,TechCrunch,https://techcrunch.com/2026/04/14/inertia-moves-to-commercialize-one-of-the-worlds-most-elaborate-science-experiments/
TechCrunch,2026-04-14T15:19:49Z,An Amazon warehouse worker died on the job at Oregon facility,2026-04-14T00:26:18Z,TechCrunch,https://techcrunch.com/2026/04/13/an-amazon-warehouse-worker-died-on-the-job-at-oregon-facility/
TechCrunch,2026-04-14T15:19:49Z,OpenAI has bought AI personal finance startup Hiro,2026-04-14T00:23:33Z,TechCrunch,https://techcrunch.com/2026/04/13/openai-has-bought-ai-personal-finance-startup-hiro/
TechCrunch,2026-04-14T15:19:49Z,Uber and Nuro begin testing premium robotaxi service in San Francisco,2026-04-13T21:11:58Z,TechCrunch,https://techcrunch.com/2026/04/13/uber-nuro-san-francisco-testing-premium-robotaxi-service/
TechCrunch,2026-04-14T15:19:49Z,Microsoft is officially killing its Outlook Lite app next month,2026-04-13T20:59:12Z,TechCrunch,https://techcrunch.com/2026/04/13/microsoft-is-officially-killing-its-outlook-lite-app-next-month/
TechCrunch,2026-04-14T15:19:49Z,Thousands of rare concert recordings are landing on the Internet Archive — listen now,2026-04-13T20:20:47Z,TechCrunch,https://techcrunch.com/2026/04/13/thousands-of-rare-concert-recordings-are-landing-on-the-internet-archive-listen-now/
